step,particle_id,name,x,y,z,vx,vy,vz
21,0,Sun,-7.16912e+08,2.73626e+08,3.8779e+06,-7.20568,-15.974,0.235955
21,1,Mercury,-6.68341e+10,1.50403e+10,5.99703e+09,-3643.91,-40929.1,-301.463
21,2,Venus,8.37774e+10,-6.60328e+10,-6.43365e+09,21166.9,27698.7,-483.23
21,3,Earth,-1.47696e+11,-2.69176e+10,-1.92786e+06,4624.7,-29264.9,1.0778
21,4,Mars,-9.48536e+10,2.11904e+11,6.99295e+09,-21878.7,-8117.89,321.828
21,5,Jupiter,4.96359e+11,-6.01038e+11,-1.12476e+10,9127.23,8738.27,-215.722
21,6,Saturn,1.3414e+12,4.64656e+11,-4.49968e+10,-3454.96,8499.7,116.682
21,7,Uranus,2.80864e+12,-1.11296e+12,-5.02377e+10,2447.88,5632.97,-81.0794
21,8,Neptune,4.39784e+12,8.19076e+11,-8.79287e+10,-1000.64,5157.32,116.896
22,0,Sun,-7.17534e+08,2.72245e+08,3.89827e+06,-7.19263,-15.9889,0.235535
22,1,Mercury,-6.70448e+10,1.14808e+10,5.96154e+09,-1204.07,-41406.9,-521.605
22,2,Venus,8.55726e+10,-6.36133e+10,-6.47284e+09,20380.5,28298.2,-423.76
22,3,Earth,-1.47274e+11,-2.94421e+10,-1.83388e+06,5128.34,-29167.2,1.09737
22,4,Mars,-9.67402e+10,2.11194e+11,7.02048e+09,-21791.1,-8312.43,315.38
22,5,Jupiter,4.97147e+11,-6.00281e+11,-1.12662e+10,9103.21,8767.29,-215.178
22,6,Saturn,1.3411e+12,4.6539e+11,-4.49867e+10,-3465.69,8495.98,117.042
22,7,Uranus,2.80885e+12,-1.11247e+12,-5.02447e+10,2445.55,5633.9,-81.0376
22,8,Neptune,4.39776e+12,8.19521e+11,-8.79186e+10,-1001.76,5157.11,116.919
23,0,Sun,-7.18155e+08,2.70863e+08,3.9186e+06,-7.17951,-16.0039,0.235115
23,1,Mercury,-6.70422e+10,7.8852e+09,5.90689e+09,1293.94,-41760.6,-744.945
23,2,Venus,8.72991e+10,-6.11429e+10,-6.50688e+09,19577,28875.8,-363.89
23,3,Earth,-1.46809e+11,-3.19577e+10,-1.73823e+06,5629.79,-29061.1,1.11665
23,4,Mars,-9.86191e+10,2.10467e+11,7.04745e+09,-21702,-8505.99,308.917
23,5,Jupiter,4.97932e+11,-5.99523e+11,-1.12847e+10,9079.15,8796.28,-214.633
23,6,Saturn,1.3408e+12,4.66124e+11,-4.49766e+10,-3476.42,8492.26,117.401
23,7,Uranus,2.80906e+12,-1.11198e+12,-5.02517e+10,2443.21,5634.82,-80.9959
23,8,Neptune,4.39767e+12,8.19967e+11,-8.79085e+10,-1002.89,5156.9,116.941
24,0,Sun,-7.18775e+08,2.6948e+08,3.9389e+06,-7.16633,-16.0188,0.234693
24,1,Mercury,-6.68213e+10,4.26456e+09,5.83282e+09,3847.1,-41983.6,-971.121
24,2,Venus,8.89555e+10,-5.86235e+10,-6.53572e+09,18757,29430.9,-303.664
24,3,Earth,-1.46301e+11,-3.44638e+10,-1.64092e+06,6128.92,-28946.5,1.13565
24,4,Mars,-1.0049e+11,2.09724e+11,7.07386e+09,-21611.3,-8698.57,302.441
24,5,Jupiter,4.98716e+11,-5.98761e+11,-1.13033e+10,9055.03,8825.25,-214.087
24,6,Saturn,1.3405e+12,4.66858e+11,-4.49664e+10,-3487.15,8488.53,117.761
24,7,Uranus,2.80927e+12,-1.1115e+12,-5.02587e+10,2440.87,5635.75,-80.9541
