step,particle_id,x,y,z,vx,vy,vz
2,28,11.0415,-11.7067,-22.7771,0.0624953,0.119007,0.0804188
2,29,-21.5178,-3.46714,-15.7503,0.0846752,-0.0481492,-0.0540109
2,30,-3.90939,-17.9373,-12.8357,0.0328523,-0.0196084,0.0495622
2,31,1.88488,-21.7505,-18.0546,-0.0565344,-0.0368898,-0.0298169
2,32,25.0965,-2.24147,20.0971,0.0617126,-0.0518335,-0.100623
2,33,24.5596,3.04617,4.90495,0.0219889,-0.0368399,0.0236891
2,34,-14.6948,29.5107,11.6482,0.0547757,-0.0426897,-0.0237258
2,35,4.85919,17.0664,-22.7678,-0.0370119,-0.081651,0.0367791
2,36,9.8555,-9.04136,-23.3641,-0.0603887,-0.0696473,0.0179639
2,37,9.41186,-1.07508,-4.26644,-0.292888,0.0720846,0.182255
2,38,20.4972,-11.5917,6.77998,-0.142238,0.0719588,0.0387175
2,39,16.8787,24.2614,-12.6596,-0.0975097,0.0674289,0.0103332
2,40,-8.91897,29.9216,6.65884,0.0206901,-0.00688696,-0.107701
2,41,-4.43998,-10.2195,13.1344,-0.0230701,0.153334,-0.0117594
2,42,-8.22058,14.3314,2.05558,0.00453591,-0.189803,-0.00223436
2,43,21.4496,-29.8186,22.2478,-0.104973,0.0370445,-0.0529166
2,44,-8.7391,-15.4632,9.13878,0.063605,0.0325477,-0.00695203
2,45,-28.6018,-7.15624,-9.29213,-0.00304318,0.0600211,0.107541
2,46,28.3203,-18.5213,27.3128,-0.00558137,-0.0567488,-0.0881689
2,47,24.1312,28.3529,23.8947,0.0598999,-0.0032019,0.0702517
2,48,1.05868,2.22081,-2.4016,-1.04445,-2.22546,2.34878
2,49,-2.48396,10.0184,23.284,-0.00696152,0.0310201,-0.105872
2,50,-4.50399,1.47858,8.73359,0.264205,-0.112063,-0.349366
2,51,0.11691,14.8515,-18.3182,-0.0169812,-0.0856192,0.0327679
2,52,-25.3975,8.2516,-4.3705,0.0123234,-0.00659075,-0.0392001
2,53,-10.3237,-0.747121,26.7968,0.0946328,-0.032254,0.000282789
2,54,15.3857,4.14063,-2.25388,-0.167751,0.0266103,-0.0387799
2,55,10.1558,-29.9337,-27.3346,-0.0234836,-0.0306352,0.0433889
2,56,6.14232,-19.2699,25.976,0.0423387,0.0397475,-0.0971101
2,57,23.0155,-13.6154,-27.402,-0.0647047,-0.00754055,0.0665309
2,58,29.9029,14.3985,12.8131,-0.0717935,-0.0178102,-0.0809977
2,59,25.5594,24.9044,-10.9498,0.0364415,-0.00506217,0.0793323
2,60,13.8525,-2.06973,3.94425,-0.185081,0.0885746,-0.0254413
2,61,16.1582,-24.2588,5.83894,-0.0108289,0.0869517,0.0201728
2,62,-22.6751,-12.5316,26.2074,0.11075,-0.0829779,-0.0852024
2,63,-13.9747,-10.0485,-4.75356,0.10948,-0.0271343,0.0278284
2,64,-21.9331,-11.8381,-22.9145,0.071018,0.106576,0.0742699
2,65,24.6974,-8.38438,-11.912,-0.133546,0.0815936,0.00635009
2,66,26.5947,0.816203,15.7729,-0.0444429,-0.022498,0.0637943
2,67,18.6023,28.467,26.2845,0.0252017,-0.0160313,-0.0102811
2,68,9.95299,8.33899,3.19899,-0.219985,-0.187244,-0.0605783
2,69,23.3118,2.44764,10.9068,0.0221492,-0.0533986,-0.0623657
2,70,-20.6386,-27.4874,22.628,0.00808965,-0.0833721,-0.00872757
2,71,-16.9925,20.5245,1.69114,0.133168,-0.119184,0.0307894
2,72,27.03,27.7729,-20.5955,-0.0151351,0.0693385,0.0865728
2,73,-27.3217,-12.3391,-26.1709,0.116425,0.0397701,0.0991767
2,74,25.2542,26.9952,19.0571,0.0588526,-0.0349394,-0.0360281
2,75,-18.183,-6.36055,11.4878,0.102281,0.00551366,-0.116043
2,76,14.9515,-14.1852,13.1623,-0.0614069,-0.0362251,-0.0552004
2,77,3.19864,-0.227667,-12.2989,-0.0940191,-0.0603933,0.252369
2,78,-1.37461,28.7651,7.98494,0.0346211,-0.0855938,-0.0828946
2,79,-7.83964,17.8202,-20.8281,-0.0518955,0.00361878,-0.0600423
2,80,7.41968,-29.4457,-8.28007,-0.00772963,0.11429,-0.0314416
2,81,10.0406,17.5256,-2.67854,0.0512802,-0.135408,0.108836
2,82,-26.2616,5.06804,-0.672227,0.0302012,-0.0680209,-0.0505221
2,83,19.4596,6.36659,2.75485,-0.169286,-0.0700246,-0.0123755
